"","Sp_1","Sp_2","Sp_3","Sp_4","Sp_5","Sp_6","Sp_7","Sp_8","Sp_9","Sp_10","Sp_11","Sp_12","Sp_13","Sp_14","Sp_15","Sp_16","Sp_17","Sp_18","Sp_19","Sp_20","Sp_21","Sp_22","Sp_23","Sp_24","Sp_25","Sp_26","Sp_27","Sp_28","Sp_29","Sp_30","Sp_31","Sp_32","Sp_33","Sp_34","Sp_35","Sp_36","Sp_37","Sp_38","Sp_39","Sp_40"
"Time_1",0.00017854953603819,0.145938052900846,0.361041270837059,0.114100617144881,0.116216976302028,0.107725243350606,0.25580369165032,0.000521594173144728,0.0125859127783385,0.0782475089012638,0.178724697372919,0.0177639186266046,0.107302946148413,0.000601928452806622,0.000699796256357759,0.0450648035556461,0.00756815386205572,0.0412942430721398,0.00695622106829286,0.0507447516398092,0.059649673841431,0.00125894867237601,0.0222323310507212,0.0452595195888028,0.0146467305193498,0.00217375580815884,0.00051354988633965,0.0152652488719398,4.70610256306827e-06,0.0105434839987005,0.0279864098893015,0.00140438988662431,0.0107024701386188,0.0168498425197959,0.00244620666466156,1.21079562231898e-06,1.811463996768e-05,0.000215838217138171,7.84789019264281e-06,0.0118558971542973
"Time_2",8.19611114174128e-05,0.10922239484429,0.395065422317336,0.140920254767313,0.298170008457259,0.107872846077162,0.166904104622663,0.000464588573757499,0.0244245272937979,0.0671263872606658,0.135067593448208,0.0130778233487877,0.0850071578934974,0.000328953339129075,0.00287484922081585,0.0479139345403013,0.00757989903776506,0.0447325697590255,0.00811061762986778,0.0315119777074934,0.0316340156306309,0.000781175975778073,0.0226311416940126,0.0452921337019047,0.0129313362035447,0.00227262576126975,0.00109107502301674,0.0127704324908109,2.79818461883813e-05,0.0106676450689745,0.0256135812508127,0.00241685610390016,0.00852066017358311,0.00888678519399205,0.00628130134372473,5.72831928730011e-06,7.21270878802985e-05,0.000487971456062049,1.77784797269851e-05,0.00792787697536965
"Time_3",0.000247891122482717,0.217743564510366,0.27011136252001,0.135704233977554,0.288895363777714,0.177786060393885,0.0363433017130353,0.00268747091538113,0.0130492227031629,0.128653023768914,0.100723227230986,0.0392493805993133,0.0514639259876578,0.00536994571394263,0.0223914885999694,0.0536647948194708,0.00976743782120896,0.0208055218558561,0.0124741915159718,0.0668438849844812,0.0110466520710167,0.00219043405042592,0.0516272424702068,0.0132472311226209,0.0163753701647299,0.00431260285565688,0.0183908986815837,0.00310822871264506,0.000673973680863291,0.0142161893076795,0.0116952881158061,0.0018455770639973,0.00246949181604423,0.0176390395795681,0.0126216137089617,5.37403351940215e-05,0.000235021669972882,0.00241840079377569,3.48468509690464e-05,0.00313364978433608
"Time_4",0.000169044540478289,0.308230175667908,0.13326404802882,0.018505039484156,0.102173551778879,0.0868343830725191,0.132857368644845,0.000191420133784413,0.00122495183997679,0.270024880535965,0.159103942901037,0.104866093956553,0.160683711490959,0.000341823057945803,0.000360606078176752,0.085733791757571,0.0192767575519492,0.0338486110290231,0.0039589878547895,0.0577537122363952,0.024826486312482,0.000547048048463762,0.00226553364272702,0.0185820762232406,0.0394811717096933,0.00112664507570277,0.00052737842166096,0.030425232603122,1.85793258622289e-05,0.00188279408643554,0.0264302050226451,0.00135081342530178,0.0165142972800134,0.00505932029934564,0.00214803298491445,0.000627383036919504,0.000158861586138234,0.0204194626864661,1.41744684334844e-05,0.0197853764698463
"Time_5",0.000283515321505815,0.27568001537224,0.256503861696181,0.0569791235323066,0.0281779419865434,0.129777162568301,0.111885155599201,0.000705074794614911,0.00787840882920769,0.222936036344519,0.254158880976104,0.055402487496546,0.0936157514954949,0.00176601258386175,0.0039020926910795,0.067119392766194,0.0249683459094223,0.0061046942528905,0.0328131218206765,0.0143299103327803,0.00289260687351552,0.000955823536117822,0.0264737193075612,0.021136217321626,0.0329447793307561,0.00279127456445214,0.00547521804554603,0.0185436767417699,0.000819570578960136,0.0078533056422327,0.0288514204297986,0.0278209139496393,0.0077588646181519,0.01213530121168,0.00373336599234182,0.0112005187692137,1.97641097195447e-05,0.0137807792879618,2.99259899184109e-07,0.0103041547841909
"Time_6",0.000184647930087894,0.200303174427763,0.301433210031497,0.112323485605349,0.0603275257207515,0.254539827532051,0.0190047016658786,0.00191183423827133,0.0148580280996959,0.117097493794844,0.0809786127760007,0.0239537527986154,0.0410522251954282,0.0619614805889216,0.0641856125464,0.0500308035200434,0.0237816666901227,0.000924868892832548,0.0708328735194137,0.0046874093440156,0.00171274539822924,0.00730060176980168,0.0501265198564368,0.00371867644550754,0.0247458542924817,0.00528484106462561,0.00707425448826879,0.0112911108651828,0.0109517029193944,0.0112259157756077,0.0173656739236572,0.0164373683583007,0.00537382888327025,0.0111977948097823,0.0173408538192042,0.0218480659776638,1.85694309256971e-05,0.0123320619226034,1.03675594553351e-05,0.00279488085053968
"Time_7",0.000580015031872153,0.345525762681918,0.294993127250999,0.111244070240027,0.0581625826264327,0.115402454420608,0.236292355945435,0.00326784415646374,0.00303039729853386,0.186073572744733,0.0331086047852138,0.00375863752360359,0.121094828965023,0.00284673222972016,0.00672417300399519,0.0695918653649093,0.0747073425528271,0.00907456359423161,0.0211758923857169,0.00324745257461035,0.00295054028347686,0.00389462306527309,0.00258437554735315,0.0460777108370854,0.0165823446139743,0.000241259343195558,0.000156834313769266,0.0365735056919693,7.55233634263277e-06,0.00464490619045551,0.0108459622340186,0.00316659805747299,0.0261173259505126,0.00573069752510181,0.00178485882520005,0.000909581821455061,0.000231491290010944,0.00883057225508697,1.69709932710975e-05,0.00902678539970539
"Time_8",0.00124262382747534,0.409785431277089,0.239304108405453,0.190088015751811,0.0710997994514154,0.0517813357693794,0.287617807143665,0.00134619037631685,0.00893763625992796,0.1909914788808,0.0827999525061967,0.00441677663035101,0.0375654015690026,0.0269917058174992,0.0103871645515441,0.0490817339275718,0.0140855971625685,0.00205143774888945,0.0276259816263919,0.00269004258168557,0.016304365781725,0.00516997064306447,0.0138604006538315,0.0211952953886085,0.00553898374769032,0.00489905388671136,0.0011747092712556,0.0121908040095468,0.00116096910795179,0.0100007879996605,0.023303820423474,0.0162679558489124,0.00512953390115972,0.00196438764402285,0.00361383430780154,0.00444903358128944,0.000107483355190605,0.00583503852145757,7.69444947130978e-06,0.00145657693242936
"Time_9",0.000594276763653457,0.286143695074767,0.27901465336521,0.148824476938989,0.0582259518347286,0.222096699084278,0.00531371040515808,0.0118339007641869,0.0279094701339221,0.175956280507498,0.0700951921095101,0.0135337206505844,0.0409577080828603,0.139446968046918,0.00989607813528679,0.0315463468309166,0.0186862094041306,0.00185298803743872,0.0190385213136886,0.00463085124612084,0.000451273333326668,0.035924616948709,0.033835913755936,0.00284192827434883,0.00851998726039733,0.0103719077912769,0.00369213194724199,0.00750759552016509,0.00199043680288394,0.0160506707263596,0.0180581010871043,0.00291126761219479,0.00387937822098471,0.00610518671864462,0.0134871722673063,0.0115844026820961,4.54369237974286e-05,0.00640658209871355,1.97743145190179e-05,0.00127446051743989
"Time_10",0.000143866413555294,0.219719134903525,0.156470833434905,0.0907138365343024,0.205141798532601,0.0723192117517474,0.256988629241556,0.00123712470856479,0.00408246308730519,0.175652245058484,0.118133299749546,0.0250195476750551,0.06386459439814,0.00190564862231559,0.0480797416416849,0.0633493764223602,0.0124981112698784,0.023199089357184,0.0472969241147098,0.0358039802331418,0.0138779452713364,0.00187055002592687,0.016550342088622,0.012518911282905,0.00774436998918711,0.0069781385366431,0.0147152213118392,0.0093188363100841,0.00200516431830437,0.0172289348148502,0.00687242766323344,0.0200458923568678,0.0141851247324805,0.0151703987482001,0.00975099470416105,0.00245918373003027,0.000130596557082981,0.00288180682995404,4.38427764937282e-05,0.00651269522892803
"Time_11",0.000298950770014525,0.164289992719479,0.203418235825076,0.0852658180637238,0.266774664265827,0.0826490934352691,0.188608964372005,0.000817374225992233,0.0038086210895423,0.149013800704906,0.104195337089363,0.0458182656833725,0.0801095106576695,0.00207815102050772,0.0485224241207387,0.0490948751437439,0.00999395375718841,0.0280338777833715,0.0486218809927535,0.0409358857064219,0.0162011580597044,0.00143585863574082,0.0275746228200791,0.00920576936773872,0.0117361268349389,0.00840408309277458,0.0174778830116877,0.00566352667536175,0.00379764697032192,0.0213108464713468,0.00832712229183434,0.0160840278392341,0.00991355723653646,0.0221561466751874,0.0101712289941895,0.00199588978010526,6.81487400975078e-05,0.00334614061515613,0.000152201843668148,0.00872317049396271
"Time_12",0.000219559475628912,0.113604730470511,0.244419718574716,0.0991301930414134,0.0827147102697568,0.141643980140366,0.0432077506445995,0.00335027355283135,0.0248075404739632,0.0863110047607662,0.0673100645179745,0.0804731488544813,0.0782267851259666,0.0327680884402577,0.103108071175823,0.0348122071792877,0.010080847331744,0.00672301705829796,0.0432930674216106,0.00952017650742963,0.00273984095406324,0.0316234628838587,0.0373071959252775,0.00694401843095142,0.0216758391425062,0.0390281320804789,0.017685107238201,0.00938746448684239,0.0317768197474631,0.0291169397889996,0.00306733200527172,0.0176624578617223,0.00649502133386168,0.0248139413670889,0.0192882428188311,0.0176770329057067,5.59944603487849e-05,0.00479856597028597,0.000367895997742444,0.0086871602215289
"Time_13",0.000315380387553275,0.275146477712957,0.313744273531294,0.0374087053790919,0.297536039282631,0.222869854342285,0.135955412382606,0.00472904595470837,0.00318429710064727,0.181633895450227,0.00633508662265193,0.00245734173308584,0.0877588756045073,0.000194385323403031,0.000361148209845811,0.0862520588075079,0.00135044090937132,0.014134195299654,0.000675428441959038,0.0502291394469789,0.00150767177395895,0.0100225038551212,0.00775685756368124,0.00375681812974855,0.000514084708824947,0.00168741144006877,0.0222926181628166,0.0332526259576614,0.00316657632242832,0.00385786033364946,0.0107742803006846,0.00461159800757141,0.0176895932443625,0.00790883522103801,0.000165014920088261,9.45070090591907e-05,4.42115402985364e-05,0.00418087763539545,1.70850257109851e-05,0.00954748892649746
"Time_14",0.000320842658930272,0.22776081337498,0.254258918293627,0.0325096883781133,0.34365337029463,0.299884776755792,0.109474890167619,4.31401428766548e-05,0.00407534600291669,0.246292146856161,0.00279760686089397,0.00363938621653372,0.0862447468738865,9.95686496350914e-05,0.00032742393327342,0.095509073913384,0.000767399626109703,0.0178077228841496,0.000261152570876971,0.0319543288036011,0.00148887318829367,0.000236561667574167,0.0102308473681713,0.00370567635862245,0.00143950125894108,0.00242523393404426,0.0372443178048619,0.014356875984701,0.0025235539872603,0.00511391128931341,0.0114544206540605,0.00352186609605575,0.0190652133191756,0.0124599839418612,0.00061739424253574,0.000322276127359986,8.37271322496235e-06,0.00698667227379404,3.62266299314797e-06,0.0146819471668752
"Time_15",0.000304666390974075,0.253905381965656,0.302500766045794,0.0762963715328979,0.277928030713407,0.234966704192942,0.0430899000132892,0.000392691981549412,0.0107914605087542,0.178594652655598,0.0115684739657009,0.0314618260392539,0.0676473701476243,0.0045657008998469,0.00857260526686184,0.0773631163562564,0.018655089294991,0.00695923778550518,0.0133242118847095,0.0112189053363521,0.001656089225851,0.00252399480230564,0.0194779804494944,0.00316086704733919,0.0125850318914929,0.0109417979446169,0.0150413779845508,0.0218483355220003,0.0037162588460958,0.00899252472061537,0.00662399074618366,0.00545707181911537,0.00814037677925818,0.0158166925972176,0.0233909118317274,0.00182725362758616,0.000725850065395415,0.00574415691053927,5.69641716334969e-05,0.00722127011986579
"Time_16",0.00326973399665907,0.256138066615813,0.38235200223668,0.120122855778981,0.275732875949052,0.116603222085687,0.125356931377366,0.0200647339311523,0.0200915888223887,0.104474825415489,0.0238696297961391,0.00428854575819385,0.0630951284007834,0.00119988798170681,0.000923204104221493,0.0602767021139255,0.00406482490725307,0.0608399909034234,0.00470902494816016,0.0639542293833733,0.0122149298810365,0.0199395393787147,0.018406349050413,0.0116550426040183,0.002732728772469,0.00112674968268049,0.000862416641543493,0.0080679246708492,0.00187153696447012,0.00533709594848473,0.013922662372555,0.0199757607854532,0.0112620377480473,0.00562631562693316,0.00199417640712929,0.00214227820297468,0.000241628192148551,0.00136588776654448,1.30678878165782e-06,0.00521419005964006
"Time_17",0.000337553529281288,0.311626947221375,0.324992523452077,0.131584953466976,0.342984673130077,0.103820670864328,0.107684189409139,0.000528710959862828,0.0132259984305667,0.119506577136996,0.0362272712663586,0.0048877199916456,0.0535617613460143,0.000621773221666679,0.00398368307918887,0.0590335644624114,0.00823773274653946,0.0744650258067048,0.0113773549775394,0.0115746069781618,0.00520842714804906,0.000189910914888978,0.0179705995243847,0.0133474589653746,0.00326450360494714,0.00146000498834741,0.000719938022510126,0.0133292272286923,0.00120651091380653,0.00504928525531183,0.00956826695701611,0.0204159859980702,0.00939359928630663,0.00431595058862326,0.00437008600677592,0.00539544611184531,0.000181101440632716,0.00693065154800442,1.71098582074046e-05,0.00399796794891343
"Time_18",0.000970541019216329,0.200778142176891,0.360716173636384,0.153450775109029,0.353207207443271,0.174274594918418,0.0166947716504774,0.00107700876887351,0.0148654632380487,0.11075228293134,0.0325377201050026,0.0167031157966774,0.0641387135272085,0.0015562932234948,0.00275679694679472,0.0509215407981441,0.0266699258274422,0.00801417458189634,0.00893361577021623,0.0237951150212505,0.0018517607418023,0.00119422368349457,0.0434661915446509,0.00502982931974453,0.00990044984944844,0.00484904304908228,0.000990159705821246,0.00530817101587617,0.00199123497853234,0.0070953422186386,0.0085100009429359,0.0204926521212149,0.0097685143017602,0.00614601306382337,0.015178963882656,0.020626764129145,0.000371898377141625,0.0119023424956588,4.43707270547748e-06,0.00844989455069947
"Time_19",0.0222639732898696,0.390516701542199,0.0270764922342006,0.383671586595761,0.0237868474822116,0.00368612570640016,0.0345019571502782,0.0121181913038004,0.273197577347067,0.0131953986624931,0.193199217493456,0.218923521711074,0.00199464077373523,0.00568398197221442,3.09694519266486e-06,0.00870280841755557,0.0796441024332367,0.0691113257385924,0.000201575160585344,0.021128793831043,0.00124053936858562,0.00475011964404446,0.0125435724880866,0.00735496684260576,0.00154930247972138,0.00229999236392966,0.00318021446220689,0.0187404524369804,4.81075756110251e-05,0.0142394224482726,0.00421812672050955,0.00355583516692716,1.25726762320846e-05,0.00066465035352236,0.000364540506324351,0.000183101317556202,0.0205478772888778,0.00138356664688294,0.000181938060397238,0.00174195102968745
"Time_20",0.050210814524949,0.478017989786037,0.305536414051106,0.0264187552062114,0.0265641708163916,0.0553721063345932,0.0233914802191821,0.210944887806469,0.0153355080829622,0.112687201116944,0.111231395092959,0.00027144106062901,0.0456077841803843,0.00146742803835264,0.00805252525657935,0.0806478965422454,0.0218094371118564,0.00881753937024552,0.0227884899509636,0.0293081289997248,0.00330058895138046,0.0158970811868969,8.61283316463232e-05,0.010491235687309,0.0436857436501915,0.00744392913721909,0.00266668002177483,0.0254667508759787,0.000219874401612937,0.0157456519367207,0.0267483636231863,0.00726690262731798,0.000160105878857151,0.00155617094860139,0.00118504761408037,0.000147235919579118,0.00469198845495218,0.00171305595031121,0.0201488033269852,0.00174578031383508
"Time_21",0.542248541134095,0.275294445196702,0.156608008280503,0.0106247487324704,0.0118135042818832,0.0362480385502761,0.00637214938149574,0.281958873714882,0.00856833850411242,0.0833604834188187,0.0967664092721569,5.77757049351931e-05,0.0303241219474788,0.00062918286665383,0.00449464659971625,0.0628659306438599,0.011138595544717,0.00228695560716414,0.0117643159370528,0.00853442442235851,0.000434270365074605,0.0556236525551654,8.69480374455452e-05,0.00472624932473055,0.0286082814604892,0.00740835001399793,0.00266654893844911,0.00885916814812386,0.000150767055229098,0.0127994083910116,0.009723815901434,0.00272383545351918,2.42342780798674e-05,0.00204734085059094,0.00145611798823139,7.53270670771599e-06,0.011581730531332,0.00202520781413953,0.0188838034054183,0.00210557327717112
