"COD","WQI"
1.9,0
1.6,0
2.9,0
2.9,0
3.1,0
2.4,0
1.4,0
1.6,0
1.7,0
1.6,0
1.3,0
2,0
1.3,0
1.3,0
1.3,0
2.9,0
2.5,0
3.1,0
2.5,0
2.7,0
2.7,0
2.7,0
2.3,0
2.6,0
2.7,0
0.9,0
2.5,0
1.1,0
2.2,0
3.2,0
2.6,0
2.5,0
1.2,0
1.2,0
1.9,0
1.26,0
1.25,0
1.93,0
1.47,0
1.93,0
2.11,0
1.88,0
1.87,0
1.81,0
1.43,0
1.45,0
1.38,0
2.01,0
1.33,1
1.45,0
2.07,0
2.14,1
1.94,0
1.82,0
2.23,0
2.74,0
3.25,1
2.08,0
2.26,0
1.94,0
2.23,0
2.3,0
1.98,0
1.93,0
1.64,0
2.75,1
3.05,0
2.44,0
2.3,0
2.51,0
2.7,0
2.45,0
2.21,0
2.71,0
2.3,0
2.74,0
2.04,0
2.32,0
1.86,0
2.13,0
2.2,0
3.01,0
1.53,0
2.55,0
2.3,0
1.56,0
1.95,0
2,0
1.76,0
1.66,0
1.67,0
1.5,0
1.74,0
1.42,0
1.97,0
1.76,0
1.69,0
1.53,0
2.01,0
2.43,0
2.18,0
2.22,0
2.22,0
2.64,0
2.57,0
2.7,0
2.75,0
2.5,0
2.54,0
1.25,0
1.55,0
1.76,0
1.21,0
1.48,0
1.56,0
1.74,0
1.32,0
2.41,0
2.26,0
1.82,0
1.67,0
1.45,0
1.21,0
1.69,0
1.12,0
1.32,0
1.91,0
1.91,0
2.04,0
2.11,0
2.38,1
2.24,0
3.01,1
2.46,1
2.64,0
2.41,0
1.51,0
1.58,0
1.95,0
2.3,0
2.04,0
2.51,0
2.17,0
2.5,0
1.18,0
1.04,0
1.66,0
1.56,0
2.71,0
1.64,0
1.69,0
1.64,0
2.08,0
2.9,0
2.19,0
2.08,0
1.7,0
2.35,0
2.83,0
2.16,0
2.61,0
2.56,0
2.7,0
2.62,0
2.69,0
2.46,0
3.55,1
2.93,0
3.02,0
2.96,0
1.98,0
1.79,0
2.11,0
2.52,0
1.79,0
1.69,0
2.08,0
1.9,0
2.62,0
1.64,0
2.42,0
2.51,0
2.14,0
2.27,0
2,0
2.03,0
1.97,0
1.2,0
1.42,0
1.73,0
1.37,0
1.63,0
1.66,0
1.64,0
1.61,0
1.89,0
1.76,0
1.63,0
1.7,0
1.69,0
1.44,0
1.46,0
1.65,0
1.95,0
1.97,0
1.55,0
1.71,0
1.81,0
1.88,0
1.81,0
1.12,0
1.4,0
1.54,0
1.81,0
1.72,0
2,0
2.07,0
1.9,0
1.9,0
1.97,0
3.34,0
2.97,1
2.67,0
3.67,1
3.35,1
3.06,0
3.41,0
3.39,0
2.99,0
2.83,0
1.74,0
1.64,0
1.45,0
1.79,1
1.83,0
1.71,0
1.96,1
1.69,0
1.49,0
1.45,0
1.15,0
1.22,0
1.63,0
4.8,0
2.02,0
1.71,0
1.27,0
1.2,1
1.64,0
1.72,0
1.37,1
1.7,1
1.8,0
1.71,0
1.59,0
1.7,0
1.66,0
1.56,0
1.59,0
1.66,0
1.82,1
1.93,0
1.71,0
1.56,0
1.95,0
3,1
2.15,0
4.29,0
2.3,0
1.66,0
3.17,0
3.32,0
2.42,0
2.98,0
3.32,0
3.57,0
4.78,0
4.76,1
1.89,0
1.4,0
2.2,0
1.78,0
1.69,0
2.99,0
4.01,0
3.9,0
3.31,0
6.66,1
7.43,1
6.74,1
6.11,1
7.57,1
5.52,1
2.53,0
3.44,1
6.31,1
6.5,0
4.81,1
5.93,0
3.75,0
3.82,1
4.21,1
3.48,1
2.48,1
2.86,1
2.28,0
2.53,0
3.26,1
2.36,1
1.48,1
1.96,1
2.68,1
2.7,1
1.8,1
2.63,1
2.26,0
2.28,0
5.99,0
7.79,1
7.64,1
4.4,1
4.43,1
4.26,1
3.13,0
4.09,1
4.19,1
6.23,0
5.33,1
3.12,1
1.85,1
2.12,1
2.93,1
2.14,1
2.09,1
1.97,1
2.17,1
1.66,0
1.2,1
2,0
2.71,0
2.03,0
3.06,0
2.57,0
3.35,0
3.74,0
4,1
3.39,0
5.37,1
3.11,1
3.21,0
2.31,0
1.93,0
2.06,0
2.14,0
2.04,0
2.81,0
3.17,0
3.6,0
4.6,0
4.22,0
4.34,1
2.94,1
4.44,1
5.79,1
5.07,1
3.88,1
4.55,1
4.44,1
4.97,1
4.04,1
3.75,1
3.55,1
1.66,1
0.79,0
1.41,1
1.61,0
1.49,0
1.78,0
1.53,1
1.37,1
2.22,0
1.61,1
1.37,0
1.02,0
1.54,0
1.02,0
1.61,0
1.71,1
2.15,0
2.31,0
2.83,0
2.35,0
2.51,0
2.13,0
2.38,1
2.28,1
5.94,1
3.43,1
3.42,1
2.55,1
2.8,1
2.33,0
2.28,0
2.89,1
2.64,0
2.38,0
1.77,0
1.97,0
1.65,0
1.75,0
3.34,0
2.98,0
2.63,0
2.51,0
1.98,0
2.91,0
1.77,0
1.17,0
1.46,0
1.49,0
1.56,0
1.66,0
1.98,0
2.14,0
2.36,0
2.26,0
2.32,0
1.56,0
2.04,0
0.93,0
1.61,0
1.83,0
1.66,0
1.46,0
1.9,0
1.88,0
1.48,0
1.39,0
1.75,0
1.95,0
2.51,0
1.97,0
2.21,0
2.04,0
2.15,0
1.52,0
2.39,0
1.72,0
2.25,0
2.15,0
4.95,1
4.75,1
1.9,0
5.51,1
5.02,1
3.12,1
4.41,1
4.46,1
2.68,0
4.05,1
1.83,0
2.12,0
1.53,0
1.42,0
1.69,0
1.77,1
2.41,1
2.17,1
2.17,1
2.09,1
1.9,1
1.92,0
2.07,0
2.34,0
2.34,0
1.93,0
3.4,0
2.17,0
2.39,0
1.91,0
2.25,0
2.63,0
1.85,0
1.38,0
1.73,0
1.11,1
1.37,0
1.13,0
1.72,0
1.86,0
1.83,0
1.83,0
1.91,0
1.48,0
1.48,0
1.14,0
0.6,0
1.24,0
1.08,0
0.92,0
1.16,0
0.92,0
1.11,0
0.52,0
1.4,0
1.16,0
0.5,0
1.93,0
0.63,0
0.62,0
0.65,0
1.21,0
1.24,0
1.88,0
1.64,0
2.89,0
3.7,0
3.36,0
2.37,0
2.92,0
2.5,0
2.31,0
2.36,0
1.85,0
1.97,0
3.41,1
3.78,0
3.7,1
4.5,0
4.32,0
4.28,1
4.48,1
1.89,0
2.85,0
2.52,0
2.58,0
2.68,0
1.96,0
1.83,0
1.64,0
1.44,0
2.8,0
2.12,0
2.04,0
2.15,0
1.53,0
1.35,0
3.09,0
3.27,0
2.96,0
2.87,0
1.04,0
3.52,0
1.08,0
1.09,0
1.65,0
1.48,0
1.22,0
1.59,0
2.77,0
2.23,0
2.63,0
2.21,0
2.21,0
3.03,0
2.71,0
3.21,0
3,0
2.75,0
1.36,0
1.61,0
1.5,0
1.44,0
1.57,0
1.37,0
1.8,0
2,0
2.29,0
2.06,0
1.53,0
1.93,0
1.67,0
1.85,0
1.41,0
0.94,0
0.97,0
2.17,0
1.92,0
2.28,0
2.49,0
1.06,0
1.99,0
3.87,0
4.14,0
3.47,0
3.87,0
3.47,0
2.5,0
2.63,0
1.92,0
3.61,1
3.42,0
1.66,0
0.67,0
0.85,0
1.04,0
0.61,0
0.77,0
2.72,0
1.12,0
0.93,0
1.16,0
1.49,0
1.69,0
2.17,0
1.92,0
2.72,0
0.96,0
1.2,0
0.68,0
1.34,0
1,0
1.49,0
1.28,0
1.05,0
1.21,0
3.2,0
3.01,0
2.67,0
2.31,0
2.63,0
2.37,0
2.61,0
3.09,0
2.51,0
2.12,0
0.55,0
1.3,0
1.36,0
1.44,0
1.96,0
2.07,0
1.69,0
1.46,0
1.41,0
1.71,0
1.36,0
1.43,0
1.79,0
1.53,0
1.03,0
1.61,0
1.69,0
1.59,0
1.49,0
2.43,0
1.75,0
1.65,1
1.52,0
1.8,0
1.85,0
0.63,0
0.49,0
0.71,0
1.72,0
0.73,0
2.3,0
1.4,0
1.82,0
1.06,0
1.16,0
1.38,0
0.73,0
0.71,0
0.54,0
0.68,0
1.86,0
2.01,0
0.62,0
1.37,0
1.37,0
1.17,0
2.7,0
3.96,0
3.99,0
2.67,0
2.83,0
3.08,0
2.92,0
3.08,0
0.53,0
0.43,0
0.7,0
0.77,0
0.72,0
0.62,0
0.46,0
0.73,0
0.73,0
0.78,0
0.59,0
0.68,0
0.76,0
0.68,0
0.65,0
0.76,0
0.88,0
1.74,0
1.02,0
1.23,0
0.64,0
0.94,0
0.64,0
1.05,0
1.16,0
0.84,0
0.8,0
0.81,0
1.02,0
0.84,0
0.88,0
1.18,0
0.99,0
0.94,0
0.66,0
0.88,0
0.63,0
0.75,0
0.75,0
0.93,0
1.09,0
0.99,0
0.55,0
1.06,0
0.77,0
0.61,0
0.59,0
1.33,0
0.79,0
0.85,0
1.03,0
1.55,0
1.48,0
2.04,0
2.39,0
2.51,0
2.84,0
2.36,0
3,0
2.27,0
2.88,0
1.99,0
2.51,0
2.25,0
1.93,0
2.86,0
2.6,0
2.73,0
2.71,0
2.89,0
3.6,0
3.5,0
0.94,0
1.45,0
1.09,0
1.19,0
1.67,0
1.35,0
1.11,0
1.4,0
1.51,0
1.49,0
1.63,0
1.28,0
1.31,0
2.23,0
1.88,0
2.38,0
2.7,0
2.57,0
2.27,0
2.33,0
2.31,0
2.65,0
2.24,0
2.61,0
2.31,0
2.82,0
2.48,0
3.26,0
3.4,0
3.43,0
2.76,0
2.18,0
2.2,0
1.98,0
2.92,0
1.35,0
2.36,0
2.23,0
2.36,0
2.47,0
2.58,0
1.53,0
1.57,0
1.96,0
1.75,0
2.46,0
2.7,0
2.55,0
2.13,0
2.39,0
1.64,0
2.52,0
1.72,0
2.23,0
2.2,0
2.58,0
3.01,0
2.63,0
0.8,0
0.74,0
2.94,1
2.7,0
1.36,0
1.31,0
2.86,1
1.52,0
1.31,0
1.05,0
1.68,0
1.18,0
1.21,0
2.99,0
2.57,0
2.37,0
2.36,0
2.73,0
2.71,0
3.24,0
2.85,0
2.69,0
2.59,0
1.98,0
2.01,0
1.8,0
2.17,0
2.54,0
2.72,0
2.41,0
1.79,0
2.49,0
3.08,0
2.69,0
2.51,0
3.1,0
4.86,0
4.46,0
4.27,0
3.47,0
3.55,0
2.17,0
1.93,0
3.39,0
2.03,0
2.11,0
1.09,0
2.06,0
1.95,0
1.63,0
3.13,0
2.93,0
2.09,0
1.85,0
1.45,0
1.95,0
1.2,0
2.28,0
1.56,0
1.08,0
1.72,0
1.7,0
1.69,0
1.56,0
2.25,0
3.75,0
1.39,0
1.52,0
3.01,0
0.79,0
2.4,0
0.83,0
0.96,0
1.31,0
1.31,0
0.87,0
1.96,0
1.97,0
1.19,0
1.62,0
1.67,0
1.41,0
1.65,0
0.55,0
0.69,0
2.13,0
2.29,0
1.03,0
2.1,0
2.26,0
3.06,0
2.76,0
2.52,0
3.45,0
2.81,0
2.06,0
2.31,0
2.92,0
2.28,0
2.73,0
